error	steps
54491250086.0	0.0
54357657839.0	1.0
54282131195.0	2.0
54218134206.0	3.0
54098311343.0	4.0
54031447999.0	5.0
53994896221.0	6.0
53961103569.0	7.0
53862595554.0	8.0
53750172800.0	9.0
53670291070.0	10.0
53540777934.0	11.0
53446277663.0	12.0
53382246490.0	13.0
53222575965.0	14.0
53122520139.0	15.0
53075868699.0	16.0
53010025146.0	17.0
52945334515.0	18.0
52875748684.0	19.0
52817149334.0	20.0
52784912262.0	21.0
52743173280.0	22.0
52681585708.0	23.0
52622031647.0	24.0
52600223454.0	25.0
52553940582.0	26.0
52478963296.0	27.0
52450581478.0	28.0
52390560141.0	29.0
52295986722.0	30.0
52232379201.0	31.0
52193996639.0	32.0
52135292188.0	33.0
52125992845.0	34.0
52044816248.0	35.0
51926866202.0	36.0
51888656907.0	37.0
51826399634.0	38.0
51776955894.0	39.0
51765147301.0	40.0
51727404362.0	41.0
51672119815.0	42.0
51574454634.0	43.0
51530513870.0	44.0
51469457932.0	45.0
51386595852.0	46.0
51294463507.0	47.0
51275505675.0	48.0
51228806498.0	49.0
51216805813.0	50.0
51182174252.0	51.0
51147364646.0	52.0
51102851092.0	53.0
51087233290.0	54.0
51071211477.0	55.0
51058972394.0	56.0
50996309905.0	57.0
50941537374.0	58.0
50902305329.0	59.0
50862355292.0	60.0
50806747739.0	61.0
50765605548.0	62.0
50704437056.0	63.0
50577861966.0	64.0
50457259595.0	65.0
50405839328.0	66.0
50383524039.0	67.0
50321219830.0	68.0
50269479300.0	69.0
50225299840.0	70.0
50154988857.0	71.0
50099728814.0	72.0
50053535811.0	73.0
50048349368.0	74.0
49960673461.0	75.0
49879918658.0	76.0
49852091754.0	77.0
49732941689.0	78.0
49670368745.0	79.0
49584634743.0	80.0
49527148062.0	81.0
49518557494.0	82.0
49491389299.0	83.0
49415560646.0	84.0
49364944774.0	85.0
49325878799.0	86.0
49296376020.0	87.0
49253348198.0	88.0
49245896210.0	89.0
49224006057.0	90.0
49184199640.0	91.0
49162556493.0	92.0
49086391676.0	93.0
49059623900.0	94.0
48986478325.0	95.0
48955717920.0	96.0
48918152322.0	97.0
48844332230.0	98.0
48828984608.0	99.0
48735996571.0	100.0
48717330084.0	101.0
48688121055.0	102.0
48586391253.0	103.0
48537077758.0	104.0
48513073108.0	105.0
48488072841.0	106.0
48388727840.0	107.0
48307484987.0	108.0
48275171682.0	109.0
48230177794.0	110.0
48202283896.0	111.0
48122975228.0	112.0
48089283317.0	113.0
48062517024.0	114.0
48003240308.0	115.0
47978184039.0	116.0
47908148636.0	117.0
47877454578.0	118.0
47784970983.0	119.0
47746603108.0	120.0
47689714644.0	121.0
47670855901.0	122.0
47603012291.0	123.0
47577548278.0	124.0
47561631398.0	125.0
47538930615.0	126.0
47500897767.0	127.0
47462682796.0	128.0
47424375592.0	129.0
47390770953.0	130.0
47345531928.0	131.0
47285024903.0	132.0
47262315888.0	133.0
47216660602.0	134.0
47149871446.0	135.0
47063041948.0	136.0
47011176418.0	137.0
46975810891.0	138.0
46938786474.0	139.0
46898594021.0	140.0
46847812069.0	141.0
46827783039.0	142.0
46801693401.0	143.0
46764045224.0	144.0
46705166030.0	145.0
46685063125.0	146.0
46637375009.0	147.0
46622040569.0	148.0
46567907745.0	149.0
46533738122.0	150.0
46478271586.0	151.0
46459821814.0	152.0
46425160104.0	153.0
46319723731.0	154.0
46267107073.0	155.0
46192698456.0	156.0
46153521080.0	157.0
46099571536.0	158.0
46080623763.0	159.0
46011040215.0	160.0
45983426947.0	161.0
45932940344.0	162.0
45897021470.0	163.0
45853595416.0	164.0
45762413067.0	165.0
45739732443.0	166.0
45693844374.0	167.0
45648729008.0	168.0
45617381372.0	169.0
45555937565.0	170.0
45491986788.0	171.0
45477625090.0	172.0
45425115177.0	173.0
45366615722.0	174.0
45331464593.0	175.0
45284609084.0	176.0
45268215623.0	177.0
45230777078.0	178.0
45188241678.0	179.0
45145530996.0	180.0
45068555627.0	181.0
45043389956.0	182.0
45018005478.0	183.0
44996935340.0	184.0
44957110393.0	185.0
44887912351.0	186.0
44826688284.0	187.0
44814676373.0	188.0
44799732050.0	189.0
44767357088.0	190.0
44755663173.0	191.0
44704913180.0	192.0
44679810835.0	193.0
44662026403.0	194.0
44620991678.0	195.0
44564989573.0	196.0
44552929814.0	197.0
44509660378.0	198.0
44479470533.0	199.0
44461151713.0	200.0
44445375479.0	201.0
